"Nombre del portal";"Enlace al portal";"Organismo de la iniciativa";"Geoposition";"Nivel de administración";"Grado de reutilización";"Tipo de buscador";"Categoría";"Estrategia apertura de datos";"Descarga del catálogo";"Web Service";"API Ckan";"Restful API";"Punto SPARQL";"Licencia";"Canal de solicitud";"Catálogo de aplicaciones";"Recursos formativos";"Colabora con datos.gob.es"
"Ayuntamiento de Guijo de Santa Bárbara - Open Data";"http://www.guijodesantabarbara.es/open-data";"Ayuntamiento de Guijo de Santa Bárbara";"40.153866000000,-5.655327000000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"Creative Commons - Reconocimiento (CC-by 3.0)";"";"";"";"No"
"Ayuntamiento de Robledillo de la Vera - Open Data";"http://www.robledillodelavera.es/open-data";"Ayuntamiento de Robledillo de la Vera";"40.100526000000,-5.588949000000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"Creative Commons - Reconocimiento (CC-by 3.0)";"";"";"";"No"
"Ayuntamiento de Viandar de la Vera - Open Data";"http://www.viandardelavera.es/open-data";"Ayuntamiento de Viandar de la Vera ";"40.121975000000,-5.534498000000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"Creative Commons - Reconocimiento (CC-by 3.0)";"";"";"";"No"
"Ayuntamiento de Valverde de la Vera - Open Data";"http://www.valverdedelavera.es/open-data";"Ayuntamiento de Valverde de la Vera";"40.122082000000,-5.497792000000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"Creative Commons - Reconocimiento (CC-by 3.0)";"";"";"";"No"
"Ayuntamiento de Villanueva de la Vera - Open Data";"http://www.villanuevadelavera.es/open-data";"Ayuntamiento de Villanueva de la Vera";"40.128619000000,-5.463007000000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"Creative Commons - Reconocimiento (CC-by 3.0)";"";"";"";"No"
"Ayuntamiento de Rosalejo - Open Data";"http://www.rosalejo.es/open-data";"Ayuntamiento de Rosalejo - Open Data";"39.992254000000,-5.456880000000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"Creative Commons - Reconocimiento (CC-by 3.0)";"";"";"";"No"
"Ayuntamiento de Talayuela - Open Data";"http://www.talayuela.es/open-data";"Ayuntamiento de Talayuela - Open Data";"39.988309000000,-5.610083000000";"Administración Local";"";"";"";"";"";"";"";"";"";"Creative Commons - Reconocimiento (CC-by 3.0)";"";"";"";"No"
"Ayuntamiento de Casares de las Hurdes - Open Data";"http://www.casaresdelashurdes.es/open-data";"Ayuntamiento de Casares de las Hurdes";"40.440193000000,-6.288076000000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"Creative Commons - Reconocimiento (CC-by 3.0)";"";"";"";"No"
"Ayuntamiento de Ladrillar - Open Data";"http://www.ladrillar.es/open-data";"Ayuntamiento de Ladrillar";"40.449465000000,-6.187413000000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"Creative Commons - Reconocimiento (CC-by 3.0)";"";"";"";"No"
"Langreo open data";"https://www.langreo.as/participa/langreo-open-data";"Ayuntamiento de Langreo";"43.295731000000,-5.684033000000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Ayuntamiento de Valle de Mena - Open Data";"http://www.valledemena.es/participacion/datos-abiertos/catalogo-de-datos.html";"Ayuntamiento de Valle de Mena";"43.100632000000,-3.283850000000";"Administración Local";"(***) Formatos no propietarios";"";"Ciencia y tecnología";"";"";"";"";"";"";"";"";"";"";"No"
"Datos Abiertos Leioa";"http://leioazabalik.leioa.net/datos-abiertos-leioa";"Ayuntamiento de Leioa";"43.327872000000,-2.986232000000";"Administración Local";"(*) Datos publicados";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Getxo Opendata";"http://www.getxo.eus/es/gobierno-abierto/opndata";"Ayuntamiento de Getxo";"43.343249000000,-3.007685000000";"Administración Local";"(*) Datos publicados";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Ajuntament de Reus - Open Data";"https://opendata.reus.cat/";"Ajuntament de Reus";"41.155382000000,1.108839000000";"Administración Local";"(***) Formatos no propietarios";"Sencillo";"";"";"";"";"";"";"";"Creative Commons - Reconocimiento (CC-by 3.0)";"";"";"";"No"
"Ajuntament de El Vendrell - Datos Abiertos";"https://www.seu-e.cat/es/web/elvendrell/dades-obertes";"Ajuntament de El Vendrell";"41.220047000000,1.534846000000";"Administración Local";"(***) Formatos no propietarios";"Sencillo";"";"";"";"";"";"";"";"";"";"";"";"No"
"Ajuntament de Vilanova i la Geltrú - Open Data";"http://opendata.vilanova.cat/dataset";"Ajuntament de Vilanova i la Geltrú - Open Data";"41.224090000000,1.725934000000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"Open Data Commons Attribution License";"";"";"";"No"
"Ajuntament de Vilafranca del Penedès - Datos Abiertos";"https://seu-e.cat/es/web/vilafrancadelpenedes/dades-obertes";"Ajuntament de Vilafranca del Penedès";"41.346552000000,1.697941000000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Ajuntament de Ripoll - Datos Abiertos";"https://seu-e.cat/es/web/ripoll/dades-obertes";"Ajuntament de Ripoll ";"42.201024000000,2.190786000000";"Administración Local";"";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Ajuntament de Figueres - Datos Abiertos";"https://www.seu-e.cat/es/web/figueres/dades-obertes";"Ajuntament de Figueres";"42.267352000000,2.960621000000";"Administración Local";"(***) Formatos no propietarios";"";"";"";"";"";"";"";"";"";"";"";"";"No"
"Ayuntamiento de Arganda del Rey - Open Data";"http://datosabiertos.ayto-arganda.es/";"Ayuntamiento de Arganda del Rey";"40.300864000000,-3.437518000000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"Ciencia y tecnología, Comercio, Cultura y Ocio, Demografía, Deporte, Economía, Educación, Empleo, Energía, Hacienda, Industria, Legislación y Justicia, Medio Ambiente, Medio Rural, Salud, Sector Público, Seguridad, Sociedad y Bienestar, Transporte, Urbanismo e Infraestructuras";"";"";"";"http://datosabiertos.ayto-arganda.es/api/";"";"";"Reconocimiento 4.0 Internacional (CC BY 4.0)";"http://datosabiertos.ayto-arganda.es/suggest";"";"";"Sí"
"Renfe Data";"http://data.renfe.com/";"Ministerio de Fomento";"40.475649000000,-3.678101000000";"Administración del Estado";"(***) Formatos no propietarios";"Avanzado";"Transporte";"";"";"";"";"";"";"http://data.renfe.com/legal";"";"";"";"No"
"Portal de Datos Abiertos de la Comunidad de Madrid";"http://www.comunidad.madrid/gobierno/datos-abiertos";"Comunidad de Madrid";"40.416700000000,-3.703250000000";"Administración Autonómica";"(***) Formatos no propietarios";"Avanzado";"";"";"";"";"";"http://datos.comunidad.madrid/catalogo/dataset";"";"http://www.comunidad.madrid/gobierno/datos-abiertos/reutiliza#condiciones-uso";"http://www.comunidad.madrid/formulario-solicitud-datos-abiertos";"";"";"No"
"Portal Open Data UC";"https://web.unican.es/opendata/Paginas/default.aspx";"Universidad de Cantabria";"43.471499000000,-3.804153000000";"Universidades";"(***) Formatos no propietarios";"Avanzado";"Educación";"https://web.unican.es/opendata/Paginas/Sobre-UC-Open-Data.aspx";"";"";"";"";"";"https://web.unican.es/opendata/Paginas/Marco-Legal.aspx";"";"";"";"Sí"
"Iniciativa Open Data del Ayuntamiento de Santa Cruz de Tenerife ";"https://www.santacruzdetenerife.es/web/index.php?id=opendata";"Ayuntamiento de Santa Cruz de Tenerife";"28.466667000000,-16.250000000000";"Administración Local";"";"Sencillo";"";"";"";"";"http://www.santacruzdetenerife.es/opendata/api";"";"https://www.santacruzdetenerife.es/opendata/sparql";"http://www.opendefinition.org/licenses/cc-by";"http://www.santacruzdetenerife.es/index.php?id=3950/";"";"";"Sí"
"VallsOpenDAta";"https://dadesobertes.valls.cat/";"Ajuntament de Valls";"41.284277600000,1.247685200000";"Administración Local";"(***) Formatos no propietarios";"Sencillo";"";"";"";"";"";"";"";"";"";"";"";"No"
"Diputación de Salamanca - Datos abiertos";"https://datosabiertossalamanca.es/organization/diputacion-de-salamanca";"Diputación de Salamanca";"40.963400000000,-5.666700000000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"";"";"";"";"";"";"";"";"";"";"";"No"
"REGTSA - Datos abiertos";"https://datosabiertossalamanca.es/organization/regtsa";"Organismo Autónomo de Recaudación y Gestión Tributaria de la Diputación de Salamanca (REGTSA)";"40.949300000000,-5.668400000000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"";"";"";"";"";"";"";"";"";"";"";"No"
"Dades Obertes Tarragona";"https://seu-e.cat/ca/web/tarragona/dades-obertes";"Ayuntamiento de Tarragona";"41.116900000000,1.219200000000";"Administración Local";"(***) Formatos no propietarios";"Avanzado";"";"";"";"";"";"";"";"";"";"";"";"No"
"Datos abiertos de la Universidad de Castilla - La Mancha";"https://www.uclm.es/misiones/lauclm/institucional/transparencia/datos%20abiertos";"Universidad de Castilla - La Mancha";"38.986300000000,-3.929100000000";"Universidades";"(***) Formatos no propietarios";"";"Educación";"";"";"";"";"";"";"Licencia tipo Real Decreto 1495/2011";"https://www.uclm.es/misiones/lauclm/institucional/transparencia/derechoinformacion";"";"";"Sí"
"Portal de Datos Abiertos del Ayuntamiento de Vigo";"https://datos.vigo.org";"Ayuntamiento de Vigo";"42.236341000000,-8.726499000000";"Administración Local";"(***) Formatos no propietarios";"Sencillo";"";"https://datos.vigo.org/es/condiciones-de-uso-de-los-datos/";"https://datos.vigo.org/catalog.rdf";"";"https://datos-ckan.vigo.org/api/3/";"https://datos-ckan.vigo.org/api/3/";"";"https://datos.vigo.org/es/condiciones-de-uso-de-los-datos/";"";"https://datos.vigo.org/es/aplicaciones-visualizadores/";"https://datos.vigo.org/es/reutilizadores/";"Sí"
